clock,fastBreak,foul,gameId,index,isFastBreak,pid,pts,qtr,scorerId,x,y
667.0,False,False,1571752.0,0.0,,253975.0,2.0,1.0,830647.0,0.0,0.1
532.0,False,False,1571752.0,0.0,,395388.0,2.0,1.0,253975.0,-5.3,1.1
505.0,True,False,1571752.0,0.0,,395388.0,2.0,1.0,253975.0,0.0,0.1
456.0,False,False,1571752.0,0.0,,332691.0,2.0,1.0,229738.0,0.0,0.1
442.0,False,False,1571752.0,0.0,,842301.0,2.0,1.0,509094.0,1.5,0.0
430.0,False,False,1571752.0,0.0,,395388.0,3.0,1.0,229738.0,-22.7,-0.6
307.0,False,False,1571752.0,0.0,,329672.0,3.0,1.0,229738.0,-22.8,1.8
285.0,False,False,1571752.0,0.0,,551787.0,2.0,1.0,609848.0,1.9,4.3
260.0,False,False,1571752.0,0.0,,525052.0,2.0,1.0,695069.0,0.0,0.1
209.0,False,False,1571752.0,0.0,,329672.0,2.0,1.0,395388.0,0.0,0.1
697.0,False,False,1571752.0,0.0,,698985.0,3.0,2.0,699826.0,-24.0,2.1
635.0,False,False,1571752.0,0.0,,332691.0,2.0,2.0,398590.0,2.4,-0.1
563.0,False,False,1571752.0,0.0,,253975.0,2.0,2.0,553573.0,0.0,0.1
444.0,False,False,1571752.0,0.0,,552183.0,2.0,2.0,609848.0,1.4,-0.6
429.0,False,False,1571752.0,0.0,,332691.0,3.0,2.0,553573.0,22.5,11.5
412.0,False,False,1571752.0,0.0,,553573.0,3.0,2.0,395388.0,17.3,20.5
381.0,False,False,1571752.0,0.0,,509094.0,2.0,2.0,695069.0,0.0,0.1
298.0,True,False,1571752.0,0.0,,525052.0,2.0,2.0,552183.0,-2.4,0.7
196.0,False,False,1571752.0,0.0,,551787.0,3.0,2.0,525052.0,22.7,7.7
128.0,False,False,1571752.0,0.0,,329672.0,2.0,2.0,830647.0,0.0,0.1
97.0,False,False,1571752.0,0.0,,229738.0,2.0,2.0,830647.0,0.0,0.1
65.0,False,False,1571752.0,0.0,,551787.0,3.0,2.0,509094.0,-24.0,2.3
705.0,False,False,1571752.0,0.0,,395388.0,2.0,3.0,332691.0,-13.0,17.4
645.0,True,False,1571752.0,0.0,,395388.0,2.0,3.0,253975.0,2.8,0.7
607.0,False,False,1571752.0,0.0,,552183.0,3.0,3.0,525052.0,9.4,22.8
586.0,False,False,1571752.0,0.0,,253975.0,3.0,3.0,332691.0,-23.8,0.0
568.0,False,False,1571752.0,0.0,,552183.0,3.0,3.0,699826.0,-23.5,0.8
551.0,False,False,1571752.0,0.0,,253975.0,2.0,3.0,830647.0,0.2,1.3
437.0,False,False,1571752.0,0.0,,842301.0,3.0,3.0,509094.0,-23.0,10.6
396.0,False,False,1571752.0,0.0,,332691.0,3.0,3.0,395388.0,22.7,0.7
380.0,False,False,1571752.0,0.0,,552183.0,3.0,3.0,509094.0,6.9,23.7
311.0,False,False,1571752.0,0.0,,552183.0,3.0,3.0,525052.0,-20.1,18.5
279.0,False,False,1571752.0,0.0,,699826.0,2.0,3.0,509094.0,-1.6,0.2
263.0,False,False,1571752.0,0.0,,395388.0,2.0,3.0,253975.0,2.4,0.2
236.0,False,False,1571752.0,0.0,,395388.0,2.0,3.0,329672.0,16.4,11.5
207.0,False,False,1571752.0,0.0,,509094.0,3.0,3.0,513268.0,-21.7,12.1
5.2,True,False,1571752.0,0.0,,698985.0,2.0,3.0,525052.0,0.0,0.1
707.0,False,False,1571752.0,0.0,,698985.0,2.0,4.0,513268.0,-0.7,7.5
680.0,False,False,1571752.0,0.0,,551787.0,3.0,4.0,525052.0,-15.0,20.8
629.0,False,False,1571752.0,0.0,,525052.0,3.0,4.0,698985.0,23.3,-0.1
612.0,False,False,1571752.0,0.0,,525052.0,3.0,4.0,513268.0,-23.7,0.2
573.0,False,False,1571752.0,0.0,,395388.0,3.0,4.0,263217.0,23.0,-0.6
559.0,False,False,1571752.0,0.0,,525052.0,2.0,4.0,699826.0,0.0,0.1
420.0,False,False,1571752.0,0.0,,551787.0,3.0,4.0,699826.0,-4.3,25.2
401.0,True,False,1571752.0,0.0,,551787.0,2.0,4.0,699826.0,0.0,0.1
673.0,False,False,1571711.0,45.0,,548635.0,2.0,1.0,456450.0,2.4,16.5
654.0,False,False,1571711.0,45.0,,266358.0,2.0,1.0,509450.0,5.5,17.5
591.0,False,False,1571711.0,45.0,,679478.0,2.0,1.0,456450.0,0.0,0.1
458.0,True,False,1571711.0,45.0,,262882.0,2.0,1.0,604898.0,0.0,0.1
428.0,True,False,1571711.0,45.0,,262882.0,3.0,1.0,266358.0,22.5,4.1
411.0,False,False,1571711.0,45.0,,329830.0,2.0,1.0,679478.0,0.0,0.1
380.0,True,False,1571711.0,45.0,,262882.0,2.0,1.0,503779.0,0.0,0.1
354.0,False,False,1571711.0,45.0,,262882.0,2.0,1.0,509450.0,1.5,18.8
329.0,False,False,1571711.0,45.0,,329830.0,2.0,1.0,329525.0,-4.3,9.0
256.0,False,False,1571711.0,45.0,,329830.0,2.0,1.0,679478.0,0.0,0.1
65.0,False,False,1571711.0,45.0,,262882.0,2.0,1.0,393434.0,15.0,10.0
689.0,True,False,1571711.0,45.0,,295432.0,2.0,2.0,393434.0,-2.0,0.2
555.0,False,False,1571711.0,45.0,,329830.0,2.0,2.0,553574.0,12.2,0.7
361.0,True,False,1571711.0,45.0,,329830.0,2.0,2.0,263899.0,9.4,0.2
269.0,False,False,1571711.0,45.0,,329830.0,2.0,2.0,329525.0,-8.6,9.5
192.0,False,False,1571711.0,45.0,,266358.0,2.0,2.0,509450.0,2.0,0.3
89.0,True,False,1571711.0,45.0,,262882.0,2.0,2.0,266358.0,1.4,0.0
68.0,False,False,1571711.0,45.0,,329830.0,3.0,2.0,329525.0,-8.8,23.7
44.7,False,False,1571711.0,45.0,,329525.0,3.0,2.0,263899.0,22.7,0.3
648.0,False,False,1571711.0,45.0,,329525.0,2.0,3.0,329830.0,-1.4,0.8
