clock,foul,gameId,index,isFreeThrow,make,pid,pts,qtr,x,y
697.0,False,1571752.0,0.0,False,False,842301.0,0.0,1.0,1.4,9.7
686.0,False,1571752.0,0.0,False,False,395388.0,0.0,1.0,14.0,7.2
669.0,False,1571752.0,0.0,False,False,830647.0,0.0,1.0,0.9,3.1
667.0,False,1571752.0,0.0,False,True,830647.0,2.0,1.0,0.0,0.1
638.0,False,1571752.0,0.0,False,False,509094.0,0.0,1.0,19.9,16.0
604.0,False,1571752.0,0.0,False,False,699826.0,0.0,1.0,10.2,11.1
592.0,False,1571752.0,0.0,False,False,253975.0,0.0,1.0,-3.0,1.6
572.0,False,1571752.0,0.0,False,True,842301.0,2.0,1.0,13.7,0.8
555.0,False,1571752.0,0.0,False,False,842301.0,0.0,1.0,2.5,0.7
553.0,False,1571752.0,0.0,False,True,609848.0,2.0,1.0,-1.9,1.1
532.0,False,1571752.0,0.0,False,True,253975.0,2.0,1.0,-5.3,1.1
512.0,False,1571752.0,0.0,False,False,509094.0,0.0,1.0,-5.0,3.1
505.0,False,1571752.0,0.0,False,True,253975.0,2.0,1.0,0.0,0.1
493.0,False,1571752.0,0.0,False,True,525052.0,3.0,1.0,21.3,14.4
486.0,False,1571752.0,0.0,False,True,395388.0,3.0,1.0,12.0,22.3
468.0,False,1571752.0,0.0,False,False,842301.0,0.0,1.0,6.3,7.0
456.0,False,1571752.0,0.0,False,True,229738.0,2.0,1.0,0.0,0.1
442.0,False,1571752.0,0.0,False,True,509094.0,2.0,1.0,1.5,0.0
430.0,False,1571752.0,0.0,False,True,229738.0,3.0,1.0,-22.7,-0.6
403.0,False,1571752.0,0.0,False,False,395388.0,0.0,1.0,-17.8,4.1
371.0,False,1571752.0,0.0,False,True,395388.0,2.0,1.0,-3.2,1.3
333.0,False,1571752.0,0.0,False,True,395388.0,2.0,1.0,-0.9,17.4
307.0,False,1571752.0,0.0,False,True,229738.0,3.0,1.0,-22.8,1.8
285.0,False,1571752.0,0.0,False,True,609848.0,2.0,1.0,1.9,4.3
268.0,False,1571752.0,0.0,False,False,395388.0,0.0,1.0,0.0,0.1
260.0,False,1571752.0,0.0,False,True,695069.0,2.0,1.0,0.0,0.1
248.0,False,1571752.0,0.0,False,True,329672.0,2.0,1.0,1.4,0.2
233.0,False,1571752.0,0.0,False,False,609848.0,0.0,1.0,-23.2,4.1
209.0,False,1571752.0,0.0,False,True,395388.0,2.0,1.0,0.0,0.1
189.0,False,1571752.0,0.0,False,False,513268.0,0.0,1.0,4.0,24.2
149.0,False,1571752.0,0.0,False,False,830647.0,0.0,1.0,-2.2,1.6
141.0,False,1571752.0,0.0,False,True,830647.0,2.0,1.0,6.8,1.1
127.0,False,1571752.0,0.0,False,False,842301.0,0.0,1.0,2.8,2.1
111.0,False,1571752.0,0.0,False,False,830647.0,0.0,1.0,-1.2,2.1
102.0,False,1571752.0,0.0,False,False,699826.0,0.0,1.0,-22.7,3.1
101.0,False,1571752.0,0.0,False,True,842301.0,2.0,1.0,1.7,1.1
73.0,False,1571752.0,0.0,False,False,398590.0,0.0,1.0,8.6,23.2
59.9,False,1571752.0,0.0,False,False,698985.0,0.0,1.0,2.5,-0.6
54.3,False,1571752.0,0.0,False,True,830647.0,2.0,1.0,-2.0,0.2
30.9,False,1571752.0,0.0,False,False,551787.0,0.0,1.0,-10.2,0.8
2.9,False,1571752.0,0.0,False,False,329672.0,0.0,1.0,11.4,18.5
707.0,False,1571752.0,0.0,False,False,553573.0,0.0,2.0,2.4,6.1
697.0,False,1571752.0,0.0,False,True,699826.0,3.0,2.0,-24.0,2.1
663.0,False,1571752.0,0.0,False,True,398590.0,2.0,2.0,-4.3,17.8
645.0,False,1571752.0,0.0,False,False,513268.0,0.0,2.0,22.8,0.2
644.0,False,1571752.0,0.0,False,False,699826.0,0.0,2.0,0.0,0.1
635.0,False,1571752.0,0.0,False,True,398590.0,2.0,2.0,2.4,-0.1
617.0,False,1571752.0,0.0,False,False,842301.0,0.0,2.0,-1.6,0.8
614.0,False,1571752.0,0.0,False,False,842301.0,0.0,2.0,-0.1,1.8
604.0,False,1571752.0,0.0,False,False,398590.0,0.0,2.0,5.3,11.6
566.0,False,1571752.0,0.0,False,False,253975.0,0.0,2.0,-1.2,3.6
563.0,False,1571752.0,0.0,False,True,553573.0,2.0,2.0,0.0,0.1
551.0,False,1571752.0,0.0,False,True,509094.0,3.0,2.0,-12.4,22.3
510.0,False,1571752.0,0.0,False,False,552183.0,0.0,2.0,-1.2,4.7
502.0,False,1571752.0,0.0,False,False,229738.0,0.0,2.0,-24.6,-0.1
483.0,False,1571752.0,0.0,False,False,699826.0,0.0,2.0,24.0,-0.6
455.0,False,1571752.0,0.0,False,False,332691.0,0.0,2.0,2.4,0.2
444.0,False,1571752.0,0.0,False,True,609848.0,2.0,2.0,1.4,-0.6
429.0,False,1571752.0,0.0,False,True,553573.0,3.0,2.0,22.5,11.5
423.0,False,1571752.0,0.0,False,False,509094.0,0.0,2.0,21.0,12.9
412.0,False,1571752.0,0.0,False,True,395388.0,3.0,2.0,17.3,20.5
399.0,False,1571752.0,0.0,False,False,332691.0,0.0,2.0,7.4,1.6
381.0,False,1571752.0,0.0,False,True,695069.0,2.0,2.0,0.0,0.1
365.0,False,1571752.0,0.0,False,False,395388.0,0.0,2.0,-11.2,13.4
353.0,False,1571752.0,0.0,False,True,525052.0,3.0,2.0,-11.4,22.8
328.0,False,1571752.0,0.0,False,False,830647.0,0.0,2.0,6.9,1.1
316.0,False,1571752.0,0.0,False,False,609848.0,0.0,2.0,3.7,3.6
298.0,False,1571752.0,0.0,False,True,552183.0,2.0,2.0,-2.4,0.7
269.0,False,1571752.0,0.0,False,False,525052.0,0.0,2.0,22.8,6.5
224.0,False,1571752.0,0.0,False,False,509094.0,0.0,2.0,22.0,12.0
216.0,False,1571752.0,0.0,False,False,830647.0,0.0,2.0,-5.5,1.6
196.0,False,1571752.0,0.0,False,True,525052.0,3.0,2.0,22.7,7.7
181.0,False,1571752.0,0.0,False,False,229738.0,0.0,2.0,-2.4,17.5
168.0,False,1571752.0,0.0,False,True,395388.0,3.0,2.0,3.7,24.2
141.0,False,1571752.0,0.0,False,True,509094.0,2.0,2.0,1.7,0.2
128.0,False,1571752.0,0.0,False,True,830647.0,2.0,2.0,0.0,0.1
112.0,False,1571752.0,0.0,False,True,842301.0,2.0,2.0,-10.1,1.1
97.0,False,1571752.0,0.0,False,True,830647.0,2.0,2.0,0.0,0.1
65.0,False,1571752.0,0.0,False,True,509094.0,3.0,2.0,-24.0,2.3
50.9,False,1571752.0,0.0,False,False,509094.0,0.0,2.0,-16.5,19.3
33.9,False,1571752.0,0.0,False,False,395388.0,0.0,2.0,-12.9,21.8
0.0,False,1571752.0,0.0,False,True,395388.0,2.0,2.0,-11.2,13.1
705.0,False,1571752.0,0.0,False,True,332691.0,2.0,3.0,-13.0,17.4
681.0,False,1571752.0,0.0,False,True,509094.0,2.0,3.0,0.0,18.8
651.0,False,1571752.0,0.0,False,False,509094.0,0.0,3.0,23.2,-0.6
645.0,False,1571752.0,0.0,False,True,253975.0,2.0,3.0,2.8,0.7
625.0,False,1571752.0,0.0,False,False,699826.0,0.0,3.0,-5.8,2.6
617.0,False,1571752.0,0.0,False,False,395388.0,0.0,3.0,-2.4,24.2
607.0,False,1571752.0,0.0,False,True,525052.0,3.0,3.0,9.4,22.8
586.0,False,1571752.0,0.0,False,True,332691.0,3.0,3.0,-23.8,0.0
568.0,False,1571752.0,0.0,False,True,699826.0,3.0,3.0,-23.5,0.8
555.0,False,1571752.0,0.0,False,False,395388.0,0.0,3.0,22.7,-0.1
551.0,False,1571752.0,0.0,False,True,830647.0,2.0,3.0,0.2,1.3
523.0,False,1571752.0,0.0,False,False,842301.0,0.0,3.0,-11.4,-0.6
513.0,False,1571752.0,0.0,False,False,830647.0,0.0,3.0,-0.4,2.8
512.0,False,1571752.0,0.0,False,True,229738.0,2.0,3.0,0.0,1.1
489.0,False,1571752.0,0.0,False,False,509094.0,0.0,3.0,15.8,12.1
476.0,False,1571752.0,0.0,False,True,552183.0,2.0,3.0,-1.1,0.7
460.0,False,1571752.0,0.0,False,True,395388.0,2.0,3.0,-0.6,3.8
437.0,False,1571752.0,0.0,False,True,509094.0,3.0,3.0,-23.0,10.6
421.0,False,1571752.0,0.0,False,False,395388.0,0.0,3.0,17.1,8.7
415.0,False,1571752.0,0.0,False,False,552183.0,0.0,3.0,1.7,0.7
409.0,False,1571752.0,0.0,False,False,842301.0,0.0,3.0,18.4,-0.1
396.0,False,1571752.0,0.0,False,True,395388.0,3.0,3.0,22.7,0.7
380.0,False,1571752.0,0.0,False,True,509094.0,3.0,3.0,6.9,23.7
355.0,False,1571752.0,0.0,False,False,553573.0,0.0,3.0,-17.1,11.5
326.0,False,1571752.0,0.0,False,True,395388.0,2.0,3.0,-2.2,0.0
311.0,False,1571752.0,0.0,False,True,525052.0,3.0,3.0,-20.1,18.5
292.0,False,1571752.0,0.0,False,True,395388.0,2.0,3.0,8.2,13.4
279.0,False,1571752.0,0.0,False,True,509094.0,2.0,3.0,-1.6,0.2
263.0,False,1571752.0,0.0,False,True,253975.0,2.0,3.0,2.4,0.2
246.0,False,1571752.0,0.0,False,False,513268.0,0.0,3.0,-22.8,1.1
236.0,False,1571752.0,0.0,False,True,329672.0,2.0,3.0,16.4,11.5
214.0,False,1571752.0,0.0,False,True,509094.0,2.0,3.0,-1.9,3.6
207.0,False,1571752.0,0.0,False,True,513268.0,3.0,3.0,-21.7,12.1
162.0,False,1571752.0,0.0,False,True,395388.0,2.0,3.0,15.1,5.6
152.0,False,1571752.0,0.0,False,True,699826.0,2.0,3.0,-2.0,-0.5
141.0,False,1571752.0,0.0,False,False,395388.0,0.0,3.0,0.0,24.9
127.0,False,1571752.0,0.0,False,False,698985.0,0.0,3.0,24.0,1.1
114.0,False,1571752.0,0.0,False,False,395388.0,0.0,3.0,1.5,0.2
107.0,False,1571752.0,0.0,False,False,525052.0,0.0,3.0,-18.6,18.0
85.0,False,1571752.0,0.0,False,False,698985.0,0.0,3.0,23.0,0.2
72.0,False,1571752.0,0.0,False,False,830647.0,0.0,3.0,-0.2,2.8
57.9,False,1571752.0,0.0,False,False,525052.0,0.0,3.0,2.8,0.0
44.9,False,1571752.0,0.0,False,False,553573.0,0.0,3.0,20.2,15.1
30.9,False,1571752.0,0.0,False,False,699826.0,0.0,3.0,-16.6,19.0
5.2,False,1571752.0,0.0,False,True,525052.0,2.0,3.0,0.0,0.1
707.0,False,1571752.0,0.0,False,True,513268.0,2.0,4.0,-0.7,7.5
680.0,False,1571752.0,0.0,False,True,525052.0,3.0,4.0,-15.0,20.8
657.0,False,1571752.0,0.0,False,True,398590.0,2.0,4.0,1.0,18.8
629.0,False,1571752.0,0.0,False,True,698985.0,3.0,4.0,23.3,-0.1
615.0,False,1571752.0,0.0,False,False,513268.0,0.0,4.0,-20.9,0.7
